"zip","renter","hs_graduate","college_graduate","median_household_income"
"01063","","","",""
"01066","","","",""
"01068","0.09534492428491306","0.26677316293929715","0.2220447284345048","80313.0"
"01069","0.15958053117519663","0.35002318034306906","0.15159944367176634","54141.0"
"01070","","","","55938.0"
"01071","0.05779467680608365","","","73611.0"
"01072","0.13174061433447098","0.14650283553875237","0.23534971644612476","69250.0"
"01073","0.0949925137248378","0.2827201783723523","0.17034559643255295","79858.0"
"01074","","","","58713.0"
"01075","0.22038765254845658","0.2118981128882119","0.20402809511720402","60248.0"
"01077","0.12600901562008596","0.29790683962264153","0.1650943396226415","80444.0"
"01079","","","","42845.0"
"01080","0.35212527964205814","0.5055762081784386","0.13011152416356878","42946.0"
"01081","0.18578916715200933","0.4395424836601307","0.13970588235294118","50393.0"
"01082","0.2318137730358875","0.3978285077951002","0.15116926503340758","49500.0"
"01083","0.387030010348396","0.40240963855421685","0.14698795180722893","41600.0"
"01084","","","","49444.0"
"01085","0.2878662387410705","0.2883944317286406","0.21924130426625643","61546.0"
"01086","","","",""
"01088","","","","61750.0"
"01089","0.3234896943852168","0.29161111680853247","0.191723925751205","54585.0"
"01092","0.38413685847589424","","","56111.0"
"01093","","","","82125.0"
"01094","","","","17708.0"
"01095","0.08286318758815232","0.22956823438704704","0.25481881264456435","90307.0"
"01096","0.1076051779935275","0.3042529989094875","0.2268266085059978","70980.0"
"01097","","","",""
"01098","0.07508833922261485","","","72917.0"
"01103","0.9354317998385795","0.12425328554360812","0.08303464755077658","15558.0"
"01104","0.516933968448193","0.36852039096730704","0.08574317492416582","28858.0"
"01105","0.8796698908510072","0.3318142979208203","0.048988892053546","16845.0"
"01106","0.07273442107332416","0.12304900181488203","0.2828493647912886","109804.0"
"01107","0.7479607735312986","0.22900997697620876","0.06032233307751343","22288.0"
"01108","0.6218481135237811","0.28466790813159526","0.11042830540037243","35119.0"
"01109","0.5269886886997531","0.36955828924724327","0.09516221556504557","33797.0"
"01118","0.25617786589251573","0.27884903586771903","0.1876311319812169","59232.0"
"01119","0.2380681356207822","0.29729090263811664","0.12812019401395955","47702.0"
"01128","0.05430788076766027","0.34592552617377226","0.17539125742039935","69145.0"
"01129","0.21174694661726362","0.2913247362250879","0.13130128956623682","60992.0"
"01151","0.6362519544337726","0.3489603024574669","0.09735349716446125","33419.0"
"01199","","","",""
"01201","0.3599706912737847","0.33056972789115646","0.15664480077745385","44509.0"
"01220","0.27974897417330435","0.41804635761589404","0.15711920529801324","46210.0"
"01222","","","","78208.0"
"01223","0.08038444735692442","0.3264440911499735","0.17064122946475888","66012.0"
"01224","","","","36384.0"
"01225","0.14029947916666666","0.4026643747314138","0.13149978513107005","55750.0"
"01226","0.17267888823181549","0.3175270108043217","0.18647458983593437","47324.0"
"01229","","","","29886.0"
"01230","0.25846372688477953","0.28302854212955053","0.2148350709280465","56933.0"
"01235","0.10612959719789843","0.3812180381218038","0.19572291957229196","63182.0"
"01236","0.20040485829959515","0.19090009891196835","0.2413452027695351","70135.0"
"01237","0.0892663534513914","0.34963579604578565","0.16701352757544224","73659.0"
"01238","0.20595403899721448","0.25597115817936006","0.23862100045065346","59921.0"
"01240","0.26834969611968207","0.21574670776127766","0.23423928271224434","49149.0"
"01242","","","","54120.0"
"01243","","","","73750.0"
"01244","","","",""
"01245","","","","54297.0"
"01247","0.3921054447588158","0.35920659360565166","0.14265012227153337","40465.0"
"01253","","","","68846.0"
"01254","","","","86944.0"
"01255","","","","58906.0"
"01256","","","","53036.0"
"01257","0.13630105553005967","0.31791221826809013","0.17141162514827996","47167.0"
"01258","","","","66198.0"
"01259","","","","63750.0"
"01260","","","","74844.0"
"01262","0.35816618911174786","","","41400.0"
"01264","","","","76250.0"
"01266","0.1001410437235543","0.18365553602811951","0.25746924428822493","79188.0"
"01267","0.21062839410395656","0.16882804995196926","0.2478386167146974","73112.0"
"01270","","","","71250.0"
"01301","0.3696269982238011","0.28534211937782544","0.16504482415140603","49778.0"
"01330","0.14385964912280702","0.23217550274223034","0.26691042047531993","75417.0"
"01331","0.21816651362105907","0.3916240409207161","0.12052429667519182","51849.0"
"01337","0.1556420233463035","0.3351898734177215","0.17721518987341772","62965.0"
"01338","","","","71375.0"
"01339","0.1970260223048327","0.31589147286821706","0.1569767441860465","54938.0"
"01340","0.2473246135552913","0.3328149300155521","0.13763608087091758","50250.0"
"01341","0.06803519061583578","0.15776892430278885","0.2645418326693227","77778.0"
"01342","0.533587786259542","0.1116111611161116","0.3069306930693069","101598.0"
"01343","","","","82344.0"
"01344","0.1988454137267479","0.4159928122192273","0.12578616352201258","58125.0"
"01346","","","","56250.0"
"01347","","","","38696.0"
"01349","0.06697674418604652","","","61957.0"
"01350","","","","33750.0"
