"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"01001","0.2324564031881105","0.6523319200484555","0.2955305091333074","0.17240575204041975","30044.0","2.37"
"01002","0.5479804161566707","0.581081081081081","0.12304452466907341","0.24293020457280384","13418.0","2.58"
"01003","","","","","3313.0","3.76"
"01005","0.14371019108280256","0.6839237057220708","0.4068925571966406","0.13987836663770634","31796.0","2.77"
"01007","0.1979131377464598","0.7125762023030029","0.23304013749873623","0.2278839348903043","34169.0","2.59"
"01008","0.05912596401028278","","","","36379.0","2.32"
"01009","","","","","18807.0","2.33"
"01010","0.15221527589018755","0.6477272727272727","0.1915680473372781","0.2533284023668639","","2.49"
"01011","0.13577732518669383","","0.43498596819457436","0.11599625818521983","","2.71"
"01012","","","","","29881.0","2.2"
"01013","0.537025860067784","0.6429450874168924","0.38931348887101097","0.10344596406543309","23360.0","2.36"
"01020","0.3150003273751064","0.6464860816377481","0.37602346862822367","0.11423442357371164","27122.0","2.46"
"01022","0.30619469026548674","","0.3056745182012848","0.15310492505353318","","1.86"
"01026","0.15198451113262343","","","","26743.0","2.27"
"01027","0.347369019206728","0.6585314538186409","0.3190327044941365","0.21720445771724087","","2.23"
"01028","0.0952195880295375","0.7238150965476887","0.25377145829720826","0.22073868562510837","36413.0","2.58"
"01029","","","","","","2.28"
"01030","0.14844309234073014","0.7070081621165213","0.3230808337569903","0.1929334011184545","32931.0","2.56"
"01031","0.4234503360716953","","","","22128.0","2.38"
"01032","","","","","40074.0","2.2"
"01033","0.1271993543179984","0.6969545681477783","0.3150654537386288","0.1788329265586865","","2.69"
"01034","0.11770114942528735","","0.34913516976297243","0.20179372197309417","","2.72"
"01035","0.22269724057520404","0.5886567164179104","0.25978053435114506","0.2562022900763359","","2.25"
"01036","0.05431119920713578","0.7025495750708215","0.2760915867944622","0.2137912673056443","","2.65"
"01037","","","","","29545.0","2.12"
"01038","0.20167151162790697","","0.35018382352941174","0.22150735294117646","","2.21"
"01039","0.13029315960912052","","","","33795.0","2.17"
"01040","0.5809395065900642","0.7169628432956381","0.2850089255193893","0.1459227467811159","20616.0","2.55"
"01050","0.12881219903691815","","0.3619160260201064","0.1028976936723832","30461.0","2.62"
"01053","0.24237918215613383","","0.25107913669064746","0.20503597122302158","","2.36"
"01054","0.14583333333333334","","0.1378162450066578","0.24500665778961384","","2.4"
"01056","0.21190499462418141","0.622061191626409","0.34774603174603175","0.1353015873015873","","2.55"
"01057","0.11734634599744394","0.669052488070893","0.3567610062893082","0.16839622641509433","","2.45"
"01060","0.5226099202002816","0.5806451612903226","0.15880993064629612","0.24947230877475124","22012.0","2.0"
"01062","0.26286574466083357","0.6801732137333746","0.1717807163949159","0.24829888304018488","","2.41"
"01063","","","","","2499.0",""
"01066","","","","","",""
"01068","0.09534492428491306","","0.26677316293929715","0.2220447284345048","34896.0","2.69"
"01069","0.15958053117519663","0.6757070902750871","0.35002318034306906","0.15159944367176634","","2.52"
"01070","","","","","","2.3"
"01071","0.05779467680608365","","","","39931.0","2.55"
"01072","0.13174061433447098","","0.14650283553875237","0.23534971644612476","","2.31"
"01073","0.0949925137248378","0.6745670009115771","0.2827201783723523","0.17034559643255295","","2.42"
"01074","","","","","41000.0","2.98"
"01075","0.22038765254845658","0.69601593625498","0.2118981128882119","0.20402809511720402","27739.0","2.22"
"01077","0.12600901562008596","0.6404986522911051","0.29790683962264153","0.1650943396226415","32831.0","2.68"
"01079","","","","","27188.0","2.26"
"01080","0.35212527964205814","","0.5055762081784386","0.13011152416356878","20882.0","2.49"
"01081","0.18578916715200933","","0.4395424836601307","0.13970588235294118","","2.5"
"01082","0.2318137730358875","0.6955397543632837","0.3978285077951002","0.15116926503340758","","2.45"
"01083","0.387030010348396","","0.40240963855421685","0.14698795180722893","23902.0","2.51"
"01084","","","","","26094.0","2.15"
"01085","0.2878662387410705","0.682952582069495","0.2883944317286406","0.21924130426625643","28198.0","2.57"
"01086","","","","","2656.0",""
"01088","","","","","","1.7"
"01089","0.3234896943852168","0.6602454337899544","0.29161111680853247","0.191723925751205","","2.47"
"01092","0.38413685847589424","","","","48205.0","2.3"
"01093","","","","","36250.0","2.31"
"01094","","","","","18804.0","1.82"
"01095","0.08286318758815232","0.63424204874019","0.22956823438704704","0.25481881264456435","","2.63"
